Time,Lat,Long,Moisture (0-1023),N (mg/kg),P (mg/kg),K (mg/kg),Temperature (C)
2024-03-13 09:34:44.536554,33.812731033333336,-84.1613061,310,0,1,1,-1
2024-03-13 09:34:50.106999,33.812731033333336,-84.1613061,348,3,1,1,14.94
2024-03-13 09:34:55.580180,33.812731033333336,-84.1613061,318,3,1,1,14.88
2024-03-13 09:35:01.022495,33.812731033333336,-84.1613061,321,3,1,1,14.88
2024-03-13 09:35:06.487710,33.812731033333336,-84.1613061,323,3,1,1,14.88
2024-03-13 09:37:48.066256,33.81267723333333,-84.16119436666666,324,3,1,2,14.88
2024-03-13 09:37:53.505651,33.81267723333333,-84.16119436666666,324,4,1,2,15.25
2024-03-13 09:37:58.841257,33.81267723333333,-84.16119436666666,326,4,1,2,15.19
2024-03-13 09:38:04.264064,33.81267723333333,-84.16119436666666,326,4,1,2,15.19
2024-03-13 09:38:09.651676,33.81267723333333,-84.16119436666666,327,4,1,2,15.25
2024-03-13 09:40:50.510104,33.81260756666667,-84.1612027,363,4,1,1,15.25
2024-03-13 09:40:56.061234,33.81260756666667,-84.1612027,363,2,1,1,17.81
2024-03-13 09:41:01.425940,33.81260756666667,-84.1612027,370,2,1,1,17.81
2024-03-13 09:41:06.837986,33.81260756666667,-84.1612027,372,2,1,1,17.81
2024-03-13 09:41:12.235524,33.81260756666667,-84.1612027,375,2,1,1,17.88
